iter	Passed	Remaining
0	181	181401
1	211	105498
2	252	83999
3	284	70924
4	313	62300
5	346	57389
6	383	54407
7	413	51227
8	442	48692
9	481	47656
10	525	47260
11	551	45429
12	599	45505
13	627	44191
14	676	44399
15	716	44068
16	831	48086
17	868	47377
18	899	46444
19	927	45457
20	952	44411
21	980	43569
22	1004	42652
23	1025	41704
24	1049	40930
25	1073	40232
26	1120	40372
27	1167	40519
28	1221	40883
29	1263	40840
30	1304	40765
31	1336	40431
32	1371	40179
33	1409	40036
34	1445	39850
35	1472	39424
36	1501	39081
37	1530	38739
38	1555	38330
39	1586	38064
40	1609	37642
41	1638	37379
42	1684	37481
43	1713	37237
44	1748	37097
45	1822	37796
46	1865	37819
47	1912	37924
48	1947	37791
49	1993	37875
50	2029	37761
51	2073	37807
52	2103	37593
53	2142	37525
54	2174	37364
55	2206	37186
56	2246	37170
57	2282	37070
58	2320	37015
59	2352	36852
60	2393	36841
61	2423	36658
62	2456	36530
63	2498	36536
64	2533	36443
65	2580	36524
66	2622	36519
67	2657	36429
68	2686	36252
69	2719	36128
70	2746	35935
71	2778	35817
72	2816	35763
73	2842	35566
74	2872	35427
75	2907	35346
76	2944	35290
77	2980	35227
78	3028	35305
79	3072	35328
80	3108	35267
81	3137	35128
82	3173	35057
83	3207	34978
84	3320	35745
85	3353	35636
86	3383	35506
87	3410	35341
88	3436	35172
89	3463	35020
90	3493	34896
91	3521	34757
92	3552	34651
93	3582	34531
94	3603	34330
95	3629	34177
96	3652	34002
97	3675	33834
98	3708	33749
99	3741	33670
100	3772	33582
101	3810	33549
102	3838	33428
103	3864	33297
104	3891	33171
105	3929	33141
106	3954	33002
107	3981	32888
108	4006	32749
109	4033	32637
110	4061	32528
111	4086	32400
112	4113	32287
113	4147	32236
114	4196	32296
115	4229	32230
116	4276	32274
117	4313	32243
118	4351	32214
119	4381	32129
120	4410	32043
121	4441	31963
122	4471	31879
123	4498	31777
124	4521	31651
125	4550	31565
126	4583	31509
127	4610	31408
128	4638	31315
129	4666	31227
130	4696	31154
131	4725	31076
132	4767	31078
133	4800	31024
134	4830	30950
135	4871	30946
136	4909	30923
137	4941	30863
138	4980	30848
139	5058	31073
140	5093	31028
141	5128	30986
142	5231	31355
143	5286	31427
144	5322	31383
145	5357	31337
146	5397	31321
147	5438	31308
148	5493	31374
149	5555	31481
150	5606	31522
151	5656	31556
152	5697	31539
153	5721	31433
154	5757	31387
155	5786	31308
156	5822	31262
157	5861	31235
158	5913	31276
159	5949	31236
160	5996	31249
161	6048	31290
162	6215	31915
163	6257	31898
164	6306	31913
165	6337	31840
166	6378	31814
167	6415	31773
168	6455	31740
169	6481	31647
170	6509	31557
171	6535	31461
172	6558	31352
173	6583	31252
174	6609	31160
175	6631	31046
176	6657	30956
177	6684	30867
178	6708	30769
179	6748	30745
180	6780	30680
181	6826	30679
182	6869	30667
183	6912	30656
184	6943	30588
185	6971	30508
186	6994	30410
187	7026	30349
188	7053	30265
189	7083	30196
190	7112	30125
191	7139	30043
192	7178	30015
193	7216	29979
194	7247	29919
195	7291	29910
196	7317	29826
197	7351	29778
198	7385	29726
199	7406	29624
200	7434	29553
201	7464	29489
202	7490	29408
203	7515	29324
204	7540	29241
205	7567	29166
206	7602	29126
207	7631	29059
208	7664	29007
209	7693	28943
210	7735	28926
211	7765	28865
212	7793	28794
213	7828	28752
214	7896	28829
215	7932	28793
216	7960	28724
217	7990	28662
218	8019	28599
219	8043	28516
220	8069	28442
221	8102	28394
222	8133	28339
223	8168	28299
224	8210	28279
225	8240	28221
226	8272	28171
227	8312	28145
228	8362	28156
229	8392	28095
230	8421	28036
231	8449	27970
232	8478	27909
233	8506	27845
234	8535	27784
235	8558	27705
236	8584	27635
237	8608	27561
238	8632	27485
239	8660	27426
240	8693	27378
241	8725	27328
242	8755	27276
243	8789	27234
244	8821	27183
245	8852	27134
246	8889	27101
247	8910	27018
248	8939	26962
249	8965	26895
250	8991	26829
251	9014	26756
252	9038	26686
253	9066	26628
254	9093	26568
255	9126	26525
256	9158	26478
257	9188	26425
258	9216	26368
259	9251	26330
260	9285	26291
261	9314	26235
262	9339	26172
263	9367	26114
264	9394	26055
265	9418	25988
266	9445	25931
267	9471	25871
268	9503	25825
269	9529	25764
270	9556	25707
271	9584	25653
272	9620	25619
273	9656	25586
274	9688	25543
275	9719	25495
276	9752	25454
277	9780	25400
278	9806	25341
279	9840	25303
280	9867	25248
281	9897	25199
282	9922	25138
283	9944	25072
284	9971	25015
285	9996	24956
286	10023	24900
287	10047	24840
288	10069	24772
289	10094	24713
290	10130	24681
291	10166	24650
292	10197	24605
293	10229	24565
294	10258	24516
295	10289	24472
296	10317	24421
297	10346	24373
298	10369	24309
299	10406	24281
300	10433	24230
301	10461	24179
302	10486	24121
303	10513	24071
304	10546	24033
305	10578	23991
306	10608	23947
307	10643	23912
308	10669	23860
309	10698	23813
310	10728	23767
311	10760	23728
312	10798	23701
313	10836	23675
314	10865	23629
315	10894	23580
316	10925	23540
317	10948	23481
318	10975	23430
319	11013	23404
320	11048	23369
321	11083	23337
322	11135	23339
323	11173	23312
324	11201	23264
325	11232	23222
326	11256	23166
327	11281	23112
328	11307	23060
329	11332	23007
330	11360	22960
331	11390	22918
332	11421	22877
333	11447	22826
334	11474	22777
335	11510	22746
336	11543	22710
337	11580	22681
338	11614	22647
339	11661	22637
340	11698	22607
341	11727	22563
342	11756	22518
343	11792	22487
344	11829	22458
345	11866	22430
346	11891	22378
347	11919	22331
348	11948	22287
349	11976	22241
350	12011	22210
351	12052	22188
352	12087	22155
353	12124	22125
354	12149	22073
355	12178	22031
356	12204	21982
357	12244	21957
358	12274	21916
359	12296	21861
360	12321	21809
361	12349	21765
362	12375	21716
363	12403	21671
364	12441	21644
365	12468	21598
366	12500	21561
367	12525	21511
368	12556	21471
369	12583	21425
370	12612	21383
371	12641	21340
372	12663	21286
373	12690	21241
374	12720	21201
375	12756	21171
376	12784	21127
377	12822	21099
378	12868	21085
379	12902	21051
380	12935	21016
381	12972	20987
382	13003	20947
383	13029	20901
384	13058	20860
385	13086	20816
386	13114	20773
387	13142	20729
388	13165	20678
389	13191	20633
390	13216	20585
391	13249	20550
392	13280	20511
393	13312	20475
394	13350	20447
395	13384	20414
396	13420	20384
397	13448	20341
398	13476	20298
399	13508	20262
400	13531	20212
401	13556	20166
402	13583	20123
403	13611	20080
404	13636	20033
405	13668	19997
406	13705	19969
407	13733	19927
408	13764	19889
409	13799	19857
410	13833	19825
411	13866	19789
412	13892	19746
413	13923	19707
414	13950	19664
415	13981	19628
416	14009	19586
417	14046	19557
418	14072	19513
419	14107	19481
420	14135	19440
421	14170	19408
422	14203	19374
423	14264	19378
424	14308	19359
425	14335	19316
426	14360	19271
427	14389	19230
428	14419	19192
429	14450	19155
430	14481	19118
431	14512	19080
432	14538	19037
433	14568	18998
434	14594	18956
435	14620	18912
436	14651	18875
437	14680	18836
438	14712	18801
439	14747	18769
440	14775	18729
441	14803	18688
442	14841	18660
443	14867	18618
444	14893	18574
445	14928	18543
446	14961	18509
447	14997	18479
448	15023	18436
449	15047	18391
450	15075	18351
451	15106	18314
452	15132	18272
453	15157	18229
454	15183	18186
455	15209	18144
456	15241	18109
457	15272	18073
458	15294	18027
459	15321	17986
460	15364	17964
461	15395	17928
462	15425	17890
463	15460	17859
464	15489	17820
465	15522	17787
466	15550	17747
467	15574	17704
468	15602	17665
469	15632	17627
470	15653	17581
471	15679	17539
472	15706	17499
473	15734	17460
474	15764	17424
475	15802	17396
476	15840	17367
477	15875	17337
478	15911	17306
479	15941	17269
480	15971	17232
481	15999	17194
482	16032	17160
483	16061	17123
484	16082	17077
485	16108	17036
486	16137	16999
487	16168	16963
488	16197	16925
489	16222	16884
490	16252	16848
491	16283	16813
492	16313	16776
493	16345	16742
494	16383	16714
495	16418	16683
496	16448	16647
497	16475	16607
498	16503	16569
499	16529	16529
500	16559	16493
501	16585	16453
502	16606	16408
503	16633	16369
504	16657	16327
505	16680	16284
506	16701	16240
